>START_TIME		= 06.09.2017 15:09:37
>END_TIME		= 06.09.2099 23:59:59
>CP_NAME		= Society One For Test
>CP_ADDRESS		= Test Village S
>CP_CODE		= 00012101
>FILE_NAME		= v1
>RATE_FAT_BELOW_MIN	= 0.0
>RATE_SNF_BELOW_MIN	=0.0
>RATE_FAT_SNF_BELOW_MIN =0.0
>VENDOR_RANK=1
>MILK_TYPE=BUFFALO


*FAT,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,11,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.8,11.9
9.2,37.91,38.1,38.29,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21
9.3,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49
9.4,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78
9.5,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07
9.6,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78,49.97,50.16,50.36
9.7,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07,50.26,50.45,50.64
9.8,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78,49.97,50.16,50.36,50.55,50.74,50.93
9.9,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07,50.26,50.45,50.64,50.83,51.03,51.22
10,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78,49.97,50.16,50.36,50.55,50.74,50.93,51.12,51.31,51.5
10.1,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07,50.26,50.45,50.64,50.83,51.03,51.22,51.41,51.6,51.79
10.2,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78,49.97,50.16,50.36,50.55,50.74,50.93,51.12,51.31,51.5,51.7,51.89,52.08
10.3,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07,50.26,50.45,50.64,50.83,51.03,51.22,51.41,51.6,51.79,51.98,52.17,52.37
10.4,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78,49.97,50.16,50.36,50.55,50.74,50.93,51.12,51.31,51.5,51.7,51.89,52.08,52.27,52.46,52.65
10.5,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07,50.26,50.45,50.64,50.83,51.03,51.22,51.41,51.6,51.79,51.98,52.17,52.37,52.56,52.75,52.94
10.6,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78,49.97,50.16,50.36,50.55,50.74,50.93,51.12,51.31,51.5,51.7,51.89,52.08,52.27,52.46,52.65,52.84,53.04,53.23
10.7,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07,50.26,50.45,50.64,50.83,51.03,51.22,51.41,51.6,51.79,51.98,52.17,52.37,52.56,52.75,52.94,53.13,53.32,53.51
10.8,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76,45.95,46.14,46.33,46.53,46.72,46.91,47.1,47.29,47.48,47.68,47.87,48.06,48.25,48.44,48.63,48.82,49.02,49.21,49.4,49.59,49.78,49.97,50.16,50.36,50.55,50.74,50.93,51.12,51.31,51.5,51.7,51.89,52.08,52.27,52.46,52.65,52.84,53.04,53.23,53.42,53.61,53.8
10.9,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05,46.24,46.43,46.62,46.81,47.01,47.2,47.39,47.58,47.77,47.96,48.15,48.35,48.54,48.73,48.92,49.11,49.3,49.49,49.69,49.88,50.07,50.26,50.45,50.64,50.83,51.03,51.22,51.41,51.6,51.79,51.98,52.17,52.37,52.56,52.75,52.94,53.13,53.32,53.51,53.71,53.9,54.09
